Information listing created by	ASUS
Date	07-Dec-2023 20:11:54
Current work part	C:\Users\ASUS\Documents\MCOMP\PROJETO\peça em metros_fem23.fem
Node name	LAPTOP-RQ9ND5TO


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  1                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 321 356 258 4 322 267 75 76
  2                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 20 19 17 18 77 78 79 80
  3                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 20 18 265 266 80 81 268 82
  4                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 249 250 19 20 253 83 77 84
  5                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 249 20 266 354 84 82 269 254
  6                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 21 16 17 19 85 86 78 87
  7                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 21 19 250 251 87 83 255 88
  8                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 22 252 355 277 89 256 294 90
  9                    | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 22 277 278 15 90 295 91 92
  10                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 21 251 252 22 88 257 89 93
  11                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 21 22 15 16 93 92 94 85
  12                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 264 265 18 23 270 81 95 96
  13                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 24 9 262 263 97 98 271 99
  14                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 24 263 264 23 99 272 96 100
  15                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 280 281 13 25 296 101 102 103
  16                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 26 15 278 279 104 91 297 105
  17                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 26 279 280 25 105 298 103 106
  18                   | CQUAD8         | 2d_mesh(1)     | Thin Shell(1)  | 28 25 13 14 107 102 108 109
